Model Name,Query Number,Query,Model Result,Ranking
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Quartopiano Suite Restaurant,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Atölye,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Bedem,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mater Terrae,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Khorasani,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Rebekah's,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Matbah,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Villa Kabala,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,10
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Atölye,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Rebekah's,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Quartopiano Suite Restaurant,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Iva New Balkan Cuisine,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Zigante,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Monte,10
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,1
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mater Terrae,2
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Glass Hostaria,3
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,79 °,4
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,OPUS,5
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Rebekah's,6
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Atölye,7
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,TIAN,8
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Gambero Rosso,9
supp_model_1,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Bij Brons,10
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,1
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,2
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Şans,3
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,4
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Turk Fatih Tutak,5
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,6
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aila,7
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Mikla,8
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Atölye,9
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Tugra,10
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,1
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Yeni Lokanta,2
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Turk Fatih Tutak,3
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,TIAN,4
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mikla,5
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aila,6
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Lokanta 1741,7
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mater Terrae,8
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Beyti,9
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Tugra,10
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Quartopiano Suite Restaurant,2
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mikla,3
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tershane,4
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aila,5
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Neolokal,6
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Yeni Lokanta,7
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Şans,8
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tugra,9
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,10
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,1
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,2
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Şans,3
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,4
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Turk Fatih Tutak,5
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,6
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aila,7
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Mikla,8
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Atölye,9
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Tugra,10
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,1
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Yeni Lokanta,2
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Turk Fatih Tutak,3
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,TIAN,4
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mikla,5
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aila,6
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Lokanta 1741,7
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mater Terrae,8
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Beyti,9
supp_model_2,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Tugra,10
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Quartopiano Suite Restaurant,2
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mikla,3
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tershane,4
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aila,5
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Neolokal,6
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Yeni Lokanta,7
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Şans,8
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tugra,9
mgr_guru,1,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,10
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mikla,1
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,2
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Neolokal,3
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tershane,4
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,5
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Yeni Lokanta,6
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aila,7
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Şans,8
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Nicole,9
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Beyti,10
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Mikla,1
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aheste,2
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Yeni Lokanta,3
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Nicole,4
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Şans,5
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Neolokal,6
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Turk Fatih Tutak,7
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Lokanta 1741,8
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Aila,9
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a wine menu,Beyti,10
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Mikla,1
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aheste,2
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Yeni Lokanta,3
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Neolokal,4
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Turk Fatih Tutak,5
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Beyti,6
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Aila,7
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Lokanta 1741,8
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Nicole,9
mgr_guru,2,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a vegetarian menu,Deraliye,10
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Lokanta 1741,1
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Mikla,2
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Neolokal,3
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Tershane,4
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aheste,5
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Yeni Lokanta,6
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Aila,7
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Şans,8
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Nicole,9
mgr_guru,3,I am planning a holiday trip to Turkey and I am interested in visiting the finest restaurants that offer a terrace view,Beyti,10
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,NeoBiota,1
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,elixir by Dom Wódki,2
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Portfolio,3
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Le Bubbole,4
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Osteria dalla Peppa,5
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,L'Anfora,6
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Iva New Balkan Cuisine,7
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Seraf,8
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Li Jalantuùmene,9
supp_model_1,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,'t Nieuwe Diekhuus,10
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Quartopiano Suite Restaurant,1
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Li Jalantuùmene,2
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,QuarantunoDodici,3
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Il Buco,4
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Uliassi,5
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Le Bubbole,6
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Piazzetta Milù,7
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Osteria dalla Peppa,8
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Angelo Sabatelli,9
supp_model_1,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Marzapane,10
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Tre Olivi,1
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Landgoed de Holtweijde,2
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Marzapane,3
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Breakers Beach House,4
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Locanda del Barone,5
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,OPUS,6
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Moma,7
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Casa Bleve,8
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Landgoed de Wilmersberg,9
supp_model_2,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Metropolitan Grill,10
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Marzapane,1
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Quartopiano Suite Restaurant,2
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Madia,3
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Madia,4
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Sapio,5
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Capinera,6
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Pergola,7
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Ciambella,8
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Pergola,9
supp_model_2,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Tre Olivi,10
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Tre Olivi,1
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Landgoed de Holtweijde,2
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Marzapane,3
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Breakers Beach House,4
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Locanda del Barone,5
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,OPUS,6
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Moma,7
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Casa Bleve,8
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Landgoed de Wilmersberg,9
mgr_guru,1,I am planning a holiday trip and I am interested in restaurants that serves excellent foods and alcohol,Metropolitan Grill,10
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Casa Bleve,1
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Marzapane,2
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Casa Coppelle,3
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Pergola,4
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Ciambella,5
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,La Pergola,6
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,53 Untitled,7
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Glass Hostaria,8
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,All'Oro,9
mgr_guru,1,I am planning a holiday trip to Italy and I am interested in visiting the finest restaurants that offer a wine menu,Imàgo,10
